start,duration
1143307391,317
1143398292,319
1143485513,320
1143509541,3627
1143556822,315
1143637070,315
1143715599,324
1143786601,319
1143861106,314
1143920641,322
1143988810,322
1144079371,322
1144143427,317
1144597557,316
1144680128,322
1144920645,319
1144924998,322
1144930272,321
1145044689,318
1145574294,324
1146288579,315
1147509527,5229
1147518120,315
1150629087,318
1150632494,319
1150637497,317
1150804369,319
1150808232,332
1150888678,316
1150895503,321
1150900046,321
1151509544,4923
1151516193,318
1154347500,314
1154350702,318
1154355516,319
1154478685,315
1154482966,317
1155509547,3420
1157078638,326
1157260859,316
1157402851,316
1157608879,320
1157763674,318
1157810029,320
1157814844,315
1157819766,322
1157961100,315
1158099262,316
1158273174,322
1158395126,320
1158579375,319
1158990040,317
1159117013,311
1159362670,325
1159509534,5389
1159519320,323
1160687986,317
1160691802,317
1160696945,319
1160922509,320
1160952824,312
1160964686,325
1160971451,322
1161077290,325
1161081777,321
1161086734,316
1163347910,319
1163351256,316
1163355516,316
1163509539,6479
1163516536,325
1165726316,326
1165729846,324
1165734174,316
1166701774,322
1166704739,322
1166712514,320
1166717691,307
1166725996,323
1166729692,319
1166730506,323
1166746626,317
1166747904,322
1166754603,314
1167509549,8464
1171509533,4298
1171516281,324
1171674808,314
1171680581,324
1171686445,409
1172166167,320
1172167265,320
1172172153,317
1172180077,317
1172183507,308
1172184286,322
1172208407,319
1172209825,315
1172212722,316
1172213511,379
1172216150,317
1172218146,309
1172221678,323
1172223896,325
1172224697,322
1172232982,345
1172234105,319
1172241862,316
1175509560,5228
1177665115,323
1177666200,317
1177669471,308
1177675294,322
1177678209,318
1177679015,316
1177698788,320
1177700167,314
1177703009,323
1177703801,317
1177706325,323
1177710317,323
1177716178,320
1177718465,316
1177719252,313
1177727564,332
1177728695,321
1177735596,318
1179509550,5768
1179519690,318
1183509547,4426
1185990894,322
1185991956,319
1185995345,316
1186002446,317
1186005432,319
1186006221,321
1186019435,316
1186020754,317
1186028101,307
1186074273,319
1186094954,316
1186382595,313
1186382908,338
1186392488,319
1186393304,445
1186906078,322
1186907854,322
1186922928,311
1186932883,318
1186937111,325
1186937949,320
1186953913,319
1186955425,319
1186962746,316
1187441461,317
1187487395,323
1187509523,7426
1187518742,317
1187599135,319
1187752330,313
1187771916,313
1187782292,316
1187783108,372
1188831502,319
1188980591,316
1188988732,317
1191509534,6830
1191523553,316
1195509552,4403
1199509531,6737
1199518944,320
1203509532,3200
1207509548,3012
1211509550,13547
1215509529,3440
1215535829,313
1219509536,3120
1223509542,2888
1227509446,4870
1227517383,318
1229918024,317
1231509557,3555
1231761465,322
1235509552,3296
1239509553,2980
1243509543,3319
1247509539,3158
1251509553,3117
1255509545,3062
1259509536,4268
1260755659,319
1260757581,319
1260761305,316
1260767953,317
1263509533,3803
1267509538,3078
1271509538,3006
1275509548,3017
1279509540,3197
1283509547,3166
1283560948,317
1287509534,4433
1291509548,2925
1292083128,318
1295509534,3349
1299509539,3092
1301222754,479
1301236483,316
1301240201,315
1301269548,325
1303509549,3781
1307509545,3008
1311509550,3306
1315509532,3190
1319509535,4326
1323509547,3071
1327509543,3137
1331509533,2916
1335509527,9293
1339509533,3080
1343509532,3022
1347509535,2835
1351509553,2773
1355509527,2660
1359509543,2918
1363509517,2962
